,Title,Cast,Year,Ratings,Votes
79,Ted Lasso,"Jason Sudeikis, Brett Goldstein",(2020),8.7,24365
80,Kota Factory,"Mayur More, Jitendra Kumar",(2019),8.7,74206
81,Peaky Blinders,"Cillian Murphy, Paul Anderson",(2013),8.7,57310
82,Oz,"Ernie Hudson, J.K. Simmons",(1997),8.7,10167
83,Dark,"Louis Hofmann, Karoline Eichhorn",(2017),8.7,40430
84,Steins;Gate,"Mamoru Miyano, Asami Imai",(2011),8.7,65513
85,The Boys,"Karl Urban, Jack Quaid",(2019),8.7,54097
86,Arrested Development,"Jason Bateman, Michael Cera",(2003),8.7,31082
87,The Mandalorian,"Pedro Pascal, Chris Bartlett",(2019),8.7,52424
88,Fleabag,"Phoebe Waller-Bridge, Sian Clifford",(2016),8.7,16927
89,The Simpsons,"Dan Castellaneta, Nancy Cartwright",(1989),8.7,41513
90,Gullak,"Jameel Khan, Geetanjali Kulkarni",(2019),8.7,18327
91,One Punch Man: Wanpanman,"Makoto Furukawa, Kaito Ishikawa",(2015),8.7,16732
92,The Shield,"Michael Chiklis, Walton Goggins",(2002),8.6,82815
93,Battlestar Galactica,"Edward James Olmos, Mary McDonnell",(2004),8.6,16900
94,House M.D.,"Hugh Laurie, Omar Epps",(2004),8.6,47505
95,Panchayat,"Jitendra Kumar, Raghuvir Yadav",(2020),8.6,73863
96,Downton Abbey,"Hugh Bonneville, Phyllis Logan",(2010),8.6,21189
97,Vinland Saga,"Yûto Uemura, Alejandro Saab",(2019),8.6,47006
98,Stranger Things,"Millie Bobby Brown, Finn Wolfhard",(2016),8.6,1229
99,Invincible,"Steven Yeun, J.K. Simmons",(2021),8.6,14903
100,Severance,"Adam Scott, Zach Cherry",(2022),8.6,14594
101,Mad Men,"Jon Hamm, Elisabeth Moss",(2007),8.6,24520
102,Sarabhai V/S Sarabhai,"Satish Shah, Ratna Pathak Shah",(2004),8.6,17178
103,Peep Show,"David Mitchell, Robert Webb",(2003),8.6,62367
104,Star Trek: The Next Generation,"Patrick Stewart, Brent Spiner",(1987),8.6,12549
105,The Adventures of Sherlock Holmes,"Jeremy Brett, David Burke",(1984),8.6,22934
106,The Marvelous Mrs. Maisel,"Rachel Brosnahan, Alex Borstein",(2017),8.6,11849
107,Kenpuu Denki Berserk,"Marc Diraison, Nobutoshi Canna",(1997),8.6,42965
108,Friday Night Lights,"Kyle Chandler, Connie Britton",(2006),8.6,68484
109,House of Cards,"Kevin Spacey, Michel Gill",(2013),8.6,51188
110,The Grand Tour,"Jeremy Clarkson, James May",(2016),8.6,77808
111,Top Gear,"Jeremy Clarkson, Richard Hammond",(2002),8.6,12141
112,Justice League Unlimited,"George Newbern, Kevin Conroy",(2004),8.6,17503
113,1883,"Sam Elliott, Tim McGraw",(2021),8.6,89657
114,The Thick of It,"Chris Addison, James Smith",(2005),8.6,24415
115,Line of Duty,"Martin Compston, Vicky McClure",(2012),8.6,62790
116,The Crown,"Claire Foy, Olivia Colman",(2016),8.6,22801
117,Mahabharat,"Harish Bhimani, Nitish Bharadwaj",(1988),8.6,20226
118,Aspirants,"Naveen Kasturia, Shivankit Singh Parihar",(2021),8.6,29928
119,Behzat Ç.: Bir Ankara Polisiyesi,"Erdal Besikçioglu, Inanç Konukçu",(2010),8.6,31035
120,Father Ted,"Dermot Morgan, Ardal O'Hanlon",(1995),8.6,41610
121,Deadwood,"Timothy Olyphant, Ian McShane",(2004),8.6,11045
122,Parks and Recreation,"Amy Poehler, Jim O'Heir",(2009),8.6,26748
123,The X Files,"David Duchovny, Gillian Anderson",(1993),8.6,23232
124,This Is Us,"Milo Ventimiglia, Mandy Moore",(2016),8.6,14837
125,Dexter,"Michael C. Hall, Jennifer Carpenter",(2006),8.6,73534
126,Atlanta,"Donald Glover, Brian Tyree Henry",(2016),8.6,78909
127,The Jinx: The Life and Deaths of Robert Durst,"Andrew Jarecki, Robert Durst",(2015),8.6,47924
128,Naruto: Shippûden,"Alexandre Crepet, Junko Takeuchi",(2007),8.6,13449
129,Primal,"Aaron LaPlante, Laëtitia Eïdo",(2019),8.6,16553
130,Code Geass: Hangyaku no Lelouch,"Jun Fukuyama, Takahiro Sakurai",(2006),8.6,71660
131,Blackadder II,"Rowan Atkinson, Tony Robinson",(1986),8.6,47684
132,Bron/Broen,"Sofia Helin, Rafael Pettersson",(2011),8.6,71674
133,Critical Role,"Matthew Mercer, Liam O'Brien",(2015),8.6,11283
134,Bleach: Sennen Kessen-hen,"Masakazu Morita, Johnny Yong Bosch",(2022),8.6,17900
135,Daredevil,"Charlie Cox, Vincent D'Onofrio",(2015),8.6,44997
136,It's a Sin,"Olly Alexander, Nathaniel Curtis",(2021),8.6,33403
137,Monster,"Hidenobu Kiuchi, Liam O'Brien",(2004),8.6,34440
138,Ramayan,"Arun Govil, Deepika Chikhalia",(1987),8.6,21404
139,Lonesome Dove,"Robert Duvall, Tommy Lee Jones",(1989),8.6,23970
140,Adventure Time,"John DiMaggio, Jeremy Shada",(2010),8.6,99756
141,Archer,"H. Jon Benjamin, Judy Greer",(2009),8.6,15821
142,Kimetsu no Yaiba,"Natsuki Hanae, Zach Aguilar",(2019),8.6,11313
143,Yeh Meri Family,"Vishesh Bansal, Mona Singh",(2018),8.6,24277
144,Mindhunter,"Jonathan Groff, Holt McCallany",(2017),8.5,30139
145,Mystery Science Theater 3000,"Joel Hodgson, Michael J. Nelson",(1988),8.5,25048
